SAMPLE_ID	mutations
GENIE-VICC-244220-unk-1	VICC-01-T7
GENIE-VICC-244980-unk-1	VICC-01-T7
GENIE-VICC-245354-unk-1	VICC-01-T7
GENIE-VICC-245423-unk-1	VICC-01-T7
GENIE-VICC-246857-unk-1	VICC-01-T7
GENIE-VICC-247554-unk-1	VICC-01-T7
GENIE-VICC-248025-unk-1	VICC-01-T7
GENIE-VICC-251721-unk-1	VICC-01-T7
GENIE-VICC-254701-unk-1	VICC-01-T7
GENIE-VICC-255130-unk-1	VICC-01-T5a
GENIE-VICC-256715-unk-1	VICC-01-T5a
GENIE-VICC-260316-unk-1	VICC-01-T7
GENIE-VICC-260681-unk-1	VICC-01-T7
GENIE-VICC-260732-unk-1	VICC-01-T5a
GENIE-VICC-260805-unk-1	VICC-01-T5a
GENIE-VICC-262603-unk-1	VICC-01-T5a
GENIE-VICC-265002-unk-1	VICC-01-T5a
GENIE-VICC-265299-unk-1	VICC-01-T5a
GENIE-VICC-268100-unk-1	VICC-01-T5a
GENIE-VICC-269235-unk-1	VICC-01-T7
GENIE-VICC-270174-unk-1	VICC-01-T7
GENIE-VICC-270802-unk-1	VICC-01-T7
GENIE-VICC-271026-unk-1	VICC-01-myeloid
GENIE-VICC-271328-unk-1	VICC-01-T5a
GENIE-VICC-272087-unk-1	VICC-01-T5a
GENIE-VICC-273745-unk-1	VICC-01-T5a
GENIE-VICC-274926-unk-1	VICC-01-T5a
GENIE-VICC-275649-unk-1	VICC-01-T5a
GENIE-VICC-275711-unk-1	VICC-01-T5a
GENIE-VICC-277526-unk-1	VICC-01-myeloid
GENIE-VICC-278261-unk-1	VICC-01-T5a
GENIE-VICC-278928-unk-1	VICC-01-T5a
GENIE-VICC-282254-unk-1	VICC-01-myeloid
GENIE-VICC-282431-unk-1	VICC-01-T5a
GENIE-VICC-282603-unk-1	VICC-01-myeloid
GENIE-VICC-282628-unk-1	VICC-01-T5a
GENIE-VICC-282717-unk-1	VICC-01-T5a
GENIE-VICC-283494-unk-1	VICC-01-T5a
GENIE-VICC-283927-unk-1	VICC-01-T5a
GENIE-VICC-284899-unk-1	VICC-01-T5a
GENIE-VICC-285414-unk-1	VICC-01-T5a
GENIE-VICC-286175-unk-1	VICC-01-T5a
GENIE-VICC-286841-unk-1	VICC-01-myeloid
GENIE-VICC-287846-unk-1	VICC-01-T5a
GENIE-VICC-288679-unk-1	VICC-01-T5a
GENIE-VICC-289270-unk-1	VICC-01-myeloid
GENIE-VICC-289339-unk-1	VICC-01-myeloid
GENIE-VICC-291142-unk-1	VICC-01-T5a
GENIE-VICC-291635-unk-1	VICC-01-T5a
GENIE-VICC-293481-unk-1	VICC-01-T5a
GENIE-VICC-294475-unk-1	VICC-01-T5a
GENIE-VICC-294884-unk-1	VICC-01-T5a
GENIE-VICC-295576-unk-1	VICC-01-T5a
GENIE-VICC-297866-unk-1	VICC-01-T5a
GENIE-VICC-300939-unk-1	VICC-01-T5a
GENIE-VICC-302124-unk-1	VICC-01-T5a
GENIE-VICC-303150-unk-1	VICC-01-myeloid
GENIE-VICC-304683-unk-1	VICC-01-T5a
GENIE-VICC-305872-unk-1	VICC-01-T5a
GENIE-VICC-308068-unk-1	VICC-01-T5a
GENIE-VICC-308652-unk-1	VICC-01-T5a
GENIE-VICC-309614-unk-1	VICC-01-T5a
GENIE-VICC-309822-unk-1	VICC-01-T5a
GENIE-VICC-309995-unk-1	VICC-01-T5a
GENIE-VICC-310936-unk-1	VICC-01-T5a
GENIE-VICC-311447-unk-1	VICC-01-T5a
GENIE-VICC-312151-unk-1	VICC-01-T5a
GENIE-VICC-312453-unk-1	VICC-01-T5a
GENIE-VICC-314047-unk-1	VICC-01-T5a
GENIE-VICC-315150-unk-1	VICC-01-T5a
GENIE-VICC-316049-unk-1	VICC-01-T5a
GENIE-VICC-318510-unk-1	VICC-01-T5a
GENIE-VICC-319041-unk-1	VICC-01-T5a
GENIE-VICC-343840-unk-1	VICC-01-myeloid
GENIE-VICC-355897-unk-1	VICC-01-T7
GENIE-VICC-362338-unk-1	VICC-01-myeloid
GENIE-VICC-363160-unk-1	VICC-01-T7
GENIE-VICC-364207-unk-1	VICC-01-T7
GENIE-VICC-367327-unk-1	VICC-01-T7
GENIE-VICC-367350-unk-1	VICC-01-T7
GENIE-VICC-367599-unk-1	VICC-01-T7
GENIE-VICC-369915-unk-1	VICC-01-T7
GENIE-VICC-370615-unk-1	VICC-01-T7
GENIE-VICC-371888-unk-1	VICC-01-T7
GENIE-VICC-372280-unk-1	VICC-01-T7
GENIE-VICC-373523-unk-1	VICC-01-T7
GENIE-VICC-374902-unk-1	VICC-01-T7
GENIE-VICC-376083-unk-1	VICC-01-T7
GENIE-VICC-376151-unk-1	VICC-01-T7
GENIE-VICC-376619-unk-1	VICC-01-T7
GENIE-VICC-377999-unk-1	VICC-01-T7
GENIE-VICC-378576-unk-1	VICC-01-T7
GENIE-VICC-378962-unk-1	VICC-01-T7
GENIE-VICC-380318-unk-1	VICC-01-myeloid
GENIE-VICC-380719-unk-1	VICC-01-T7
GENIE-VICC-380850-unk-1	VICC-01-T7
GENIE-VICC-381676-unk-1	VICC-01-myeloid
GENIE-VICC-381906-unk-1	VICC-01-T7
GENIE-VICC-382789-unk-1	VICC-01-T7
GENIE-VICC-383891-unk-1	VICC-01-T7
GENIE-VICC-385131-unk-1	VICC-01-myeloid
GENIE-VICC-387607-unk-1	VICC-01-T7
GENIE-VICC-388111-unk-1	VICC-01-T7
GENIE-VICC-389684-unk-1	VICC-01-T7
GENIE-VICC-389872-unk-1	VICC-01-T7
GENIE-VICC-392196-unk-1	VICC-01-T7
GENIE-VICC-393210-unk-1	VICC-01-T7
GENIE-VICC-393217-unk-1	VICC-01-myeloid
GENIE-VICC-393219-unk-1	VICC-01-T7
GENIE-VICC-394192-unk-1	VICC-01-myeloid
GENIE-VICC-396209-unk-1	VICC-01-T7
GENIE-VICC-396504-unk-1	VICC-01-T7
GENIE-VICC-397049-unk-1	VICC-01-T7
GENIE-VICC-398920-unk-1	VICC-01-T7
GENIE-VICC-399450-unk-1	VICC-01-T7
GENIE-VICC-400896-unk-1	VICC-01-T7
GENIE-VICC-401916-unk-1	VICC-01-T7
GENIE-VICC-402918-unk-1	VICC-01-T7
GENIE-VICC-402971-unk-1	VICC-01-T7
GENIE-VICC-403758-unk-1	VICC-01-T7
GENIE-VICC-404331-unk-1	VICC-01-T7
GENIE-VICC-405109-unk-1	VICC-01-T5a
GENIE-VICC-405393-unk-1	VICC-01-T7
GENIE-VICC-405404-unk-1	VICC-01-T7
GENIE-VICC-405623-unk-1	VICC-01-T5a
GENIE-VICC-408732-unk-1	VICC-01-T5a
GENIE-VICC-408935-unk-1	VICC-01-T5a
GENIE-VICC-409513-unk-1	VICC-01-T5a
GENIE-VICC-411155-unk-1	VICC-01-T5a
GENIE-VICC-412137-unk-1	VICC-01-T7
GENIE-VICC-412219-unk-1	VICC-01-T7
GENIE-VICC-417787-unk-1	VICC-01-T5a
GENIE-VICC-420173-unk-1	VICC-01-T5a
GENIE-VICC-421929-unk-1	VICC-01-T5a
GENIE-VICC-422052-unk-1	VICC-01-T5a
GENIE-VICC-422635-unk-1	VICC-01-T5a
GENIE-VICC-422702-unk-1	VICC-01-T5a
GENIE-VICC-424275-unk-1	VICC-01-T5a
GENIE-VICC-424513-unk-1	VICC-01-T7
GENIE-VICC-425950-unk-1	VICC-01-T5a
GENIE-VICC-425950-unk-2	VICC-01-T5a
GENIE-VICC-427785-unk-1	VICC-01-T5a
GENIE-VICC-427810-unk-1	VICC-01-T7
GENIE-VICC-428087-unk-1	VICC-01-T7
GENIE-VICC-428145-unk-1	VICC-01-T5a
GENIE-VICC-429093-unk-1	VICC-01-T5a
GENIE-VICC-429413-unk-1	VICC-01-T5a
GENIE-VICC-429515-unk-1	VICC-01-T5a
GENIE-VICC-430234-unk-1	VICC-01-T5a
GENIE-VICC-430481-unk-1	VICC-01-T5a
GENIE-VICC-430708-unk-1	VICC-01-T5a
GENIE-VICC-432674-unk-1	VICC-01-T5a
GENIE-VICC-434774-unk-1	VICC-01-T5a
GENIE-VICC-437515-unk-1	VICC-01-T5a
GENIE-VICC-437933-unk-1	VICC-01-myeloid
GENIE-VICC-438009-unk-1	VICC-01-T5a
GENIE-VICC-438875-unk-1	VICC-01-T5a
GENIE-VICC-438945-unk-1	VICC-01-T5a
GENIE-VICC-440733-unk-1	VICC-01-T5a
GENIE-VICC-441015-unk-1	VICC-01-T5a
GENIE-VICC-441355-unk-1	VICC-01-T5a
GENIE-VICC-441457-unk-1	VICC-01-T5a
GENIE-VICC-441859-unk-1	VICC-01-T7
GENIE-VICC-442586-unk-1	VICC-01-T5a
GENIE-VICC-442943-unk-1	VICC-01-T5a
GENIE-VICC-447775-unk-1	VICC-01-T5a
GENIE-VICC-449581-unk-1	VICC-01-myeloid
GENIE-VICC-450940-unk-1	VICC-01-T5a
GENIE-VICC-452917-unk-1	VICC-01-myeloid
GENIE-VICC-453085-unk-1	VICC-01-T5a
GENIE-VICC-454240-unk-2	VICC-01-T7
GENIE-VICC-454240-unk-1	VICC-01-T7
GENIE-VICC-454700-unk-1	VICC-01-T5a
GENIE-VICC-455803-unk-1	VICC-01-T5a
GENIE-VICC-456399-unk-1	VICC-01-T5a
GENIE-VICC-457039-unk-1	VICC-01-T5a
GENIE-VICC-457418-unk-1	VICC-01-T5a
GENIE-VICC-457946-unk-1	VICC-01-T5a
GENIE-VICC-458449-unk-1	VICC-01-T5a
GENIE-VICC-458744-unk-1	VICC-01-T5a
GENIE-VICC-460164-unk-1	VICC-01-T5a
GENIE-VICC-460314-unk-1	VICC-01-T5a
GENIE-VICC-461086-unk-1	VICC-01-T5a
GENIE-VICC-462331-unk-1	VICC-01-T5a
GENIE-VICC-462643-unk-1	VICC-01-T5a
GENIE-VICC-464439-unk-1	VICC-01-T5a
GENIE-VICC-465090-unk-1	VICC-01-T5a
GENIE-VICC-465454-unk-1	VICC-01-myeloid
GENIE-VICC-465744-unk-1	VICC-01-T5a
GENIE-VICC-477389-unk-1	VICC-01-myeloid
GENIE-VICC-478552-unk-1	VICC-01-myeloid
GENIE-VICC-485581-unk-1	VICC-01-T7
GENIE-VICC-485581-unk-2	VICC-01-T7
GENIE-VICC-490468-unk-1	VICC-01-myeloid
GENIE-VICC-492695-unk-1	VICC-01-T7
GENIE-VICC-494619-unk-1	VICC-01-myeloid
GENIE-VICC-497769-unk-1	VICC-01-myeloid
GENIE-VICC-505630-unk-1	VICC-01-T7
GENIE-VICC-506235-unk-1	VICC-01-T7
GENIE-VICC-507726-unk-1	VICC-01-T7
GENIE-VICC-508075-unk-1	VICC-01-T7
GENIE-VICC-508075-unk-2	VICC-01-T7
GENIE-VICC-508211-unk-1	VICC-01-T7
GENIE-VICC-508624-unk-1	VICC-01-T7
GENIE-VICC-509167-unk-1	VICC-01-T7
GENIE-VICC-509167-unk-2	VICC-01-T7
GENIE-VICC-509607-unk-1	VICC-01-T7
GENIE-VICC-509873-unk-1	VICC-01-T7
GENIE-VICC-511220-unk-1	VICC-01-myeloid
GENIE-VICC-512041-unk-1	VICC-01-T7
GENIE-VICC-512698-unk-1	VICC-01-T7
GENIE-VICC-513175-unk-1	VICC-01-T7
GENIE-VICC-513480-unk-1	VICC-01-T7
GENIE-VICC-513555-unk-1	VICC-01-T7
GENIE-VICC-514803-unk-1	VICC-01-T7
GENIE-VICC-515055-unk-1	VICC-01-myeloid
GENIE-VICC-515955-unk-1	VICC-01-T7
GENIE-VICC-516522-unk-1	VICC-01-T7
GENIE-VICC-517540-unk-1	VICC-01-T7
GENIE-VICC-517698-unk-1	VICC-01-T7
GENIE-VICC-518408-unk-1	VICC-01-T7
GENIE-VICC-518721-unk-1	VICC-01-T7
GENIE-VICC-518916-unk-1	VICC-01-T7
GENIE-VICC-519364-unk-1	VICC-01-T7
GENIE-VICC-519425-unk-1	VICC-01-T7
GENIE-VICC-519581-unk-1	VICC-01-T7
GENIE-VICC-521398-unk-1	VICC-01-T7
GENIE-VICC-522634-unk-1	VICC-01-T7
GENIE-VICC-524201-unk-1	VICC-01-T7
GENIE-VICC-525717-unk-1	VICC-01-T7
GENIE-VICC-525858-unk-1	VICC-01-T7
GENIE-VICC-526452-unk-1	VICC-01-T7
GENIE-VICC-528216-unk-1	VICC-01-T7
GENIE-VICC-528284-unk-1	VICC-01-T7
GENIE-VICC-528449-unk-1	VICC-01-T7
GENIE-VICC-528565-unk-1	VICC-01-myeloid
GENIE-VICC-530085-unk-1	VICC-01-T7
GENIE-VICC-530716-unk-1	VICC-01-T7
GENIE-VICC-531018-unk-1	VICC-01-T7
GENIE-VICC-531696-unk-1	VICC-01-T7
GENIE-VICC-532382-unk-1	VICC-01-T7
GENIE-VICC-534052-unk-1	VICC-01-T7
GENIE-VICC-534140-unk-1	VICC-01-T7
GENIE-VICC-534746-unk-1	VICC-01-T7
GENIE-VICC-534897-unk-2	VICC-01-T7
GENIE-VICC-534897-unk-1	VICC-01-T5a
GENIE-VICC-534918-unk-1	VICC-01-T7
GENIE-VICC-535965-unk-1	VICC-01-T7
GENIE-VICC-537286-unk-1	VICC-01-T7
GENIE-VICC-538017-unk-1	VICC-01-T7
GENIE-VICC-538146-unk-1	VICC-01-T7
GENIE-VICC-538779-unk-1	VICC-01-T7
GENIE-VICC-539477-unk-1	VICC-01-T7
GENIE-VICC-539749-unk-1	VICC-01-T7
GENIE-VICC-540075-unk-1	VICC-01-T7
GENIE-VICC-540978-unk-1	VICC-01-T7
GENIE-VICC-542222-unk-1	VICC-01-T7
GENIE-VICC-542514-unk-1	VICC-01-T7
GENIE-VICC-543210-unk-2	VICC-01-T7
GENIE-VICC-543260-unk-1	VICC-01-myeloid
GENIE-VICC-543729-unk-1	VICC-01-T5a
GENIE-VICC-544089-unk-1	VICC-01-T7
GENIE-VICC-544538-unk-1	VICC-01-T5a
GENIE-VICC-545501-unk-1	VICC-01-myeloid
GENIE-VICC-545877-unk-1	VICC-01-T5a
GENIE-VICC-546644-unk-1	VICC-01-T5a
GENIE-VICC-546854-unk-1	VICC-01-T5a
GENIE-VICC-547494-unk-1	VICC-01-T5a
GENIE-VICC-549371-unk-1	VICC-01-T7
GENIE-VICC-549886-unk-1	VICC-01-T7
GENIE-VICC-549889-unk-1	VICC-01-T5a
GENIE-VICC-551449-unk-1	VICC-01-T5a
GENIE-VICC-552176-unk-1	VICC-01-T5a
GENIE-VICC-552975-unk-1	VICC-01-T7
GENIE-VICC-553438-unk-1	VICC-01-T5a
